0: f-arabic:	[388: f-mandarin (0.85486436092)]	[214: f-german (0.853046371361)]	[466: f-portuguese (0.852571603814)]	[443: m-polish (0.851850352364)]	[266: m-italian (0.849391917444)]	[655: m-spanish (0.848949883933)]	[514: f-russian (0.847720781125)]	[38: m-arabic (0.847177913415)]	[173: f-french (0.84676065418)]	[401: m-mandarin (0.844714583698)]	
13: f-arabic:	[162: f-french (0.900866982597)]	[376: f-mandarin (0.889056155252)]	[501: f-russian (0.884320858752)]	[561: f-spanish (0.883758913921)]	[455: f-portuguese (0.883324243576)]	[477: m-portuguese (0.88175559159)]	[342: f-macedonian (0.879495226217)]	[401: m-mandarin (0.879458705188)]	[563: f-spanish (0.879019486896)]	[505: f-russian (0.877862511435)]	
14: f-arabic:	[17: f-arabic (0.936367034437)]	[108: f-dutch (0.932534150819)]	[684: f-turkish (0.93064273866)]	[342: f-macedonian (0.925556268776)]	[390: f-mandarin (0.92085948766)]	[317: f-korean (0.918027499165)]	[163: f-french (0.917617972671)]	[682: f-turkish (0.917256308723)]	[157: f-french (0.916167921551)]	[286: f-japanese (0.915414041055)]	
15: f-arabic:	[281: f-japanese (0.913646534817)]	[451: m-polish (0.913251628545)]	[180: m-french (0.910978935367)]	[455: f-portuguese (0.910343887984)]	[21: f-arabic (0.90888035038)]	[301: f-korean (0.908411473137)]	[157: f-french (0.906630314958)]	[687: f-turkish (0.90220594907)]	[175: f-french (0.901115411237)]	[286: f-japanese (0.899182262518)]	
16: f-arabic:	[593: f-spanish (0.902855360095)]	[251: f-italian (0.9003918398)]	[425: f-polish (0.897446456666)]	[123: f-dutch (0.896092477152)]	[25: f-arabic (0.895666761174)]	[465: f-portuguese (0.893144647223)]	[686: f-turkish (0.892877252386)]	[249: f-italian (0.890014506669)]	[554: f-spanish (0.889980686929)]	[402: m-mandarin (0.889150019843)]	
17: f-arabic:	[14: f-arabic (0.936367034437)]	[390: f-mandarin (0.932643014504)]	[94: f-cantonese (0.92987818622)]	[502: f-russian (0.926019933975)]	[342: f-macedonian (0.920152277248)]	[688: m-turkish (0.917960684363)]	[468: f-portuguese (0.916981740619)]	[22: f-arabic (0.916790016054)]	[684: f-turkish (0.915288480593)]	[683: f-turkish (0.914836702988)]	
18: f-arabic:	[307: f-korean (0.90941499109)]	[515: f-russian (0.907234218506)]	[308: f-korean (0.905936605525)]	[251: f-italian (0.90554182898)]	[345: f-macedonian (0.8990319179)]	[592: f-spanish (0.897694664765)]	[116: f-dutch (0.896589942804)]	[166: f-french (0.89656305115)]	[577: f-spanish (0.895596941587)]	[22: f-arabic (0.895088266547)]	
19: f-arabic:	[280: f-japanese (0.885663922823)]	[37: m-arabic (0.86958827824)]	[466: f-portuguese (0.862046872106)]	[453: f-portuguese (0.860872881457)]	[370: f-mandarin (0.860797295268)]	[514: f-russian (0.859296432874)]	[310: f-korean (0.859265591033)]	[398: f-mandarin (0.856865340798)]	[257: m-italian (0.855936797306)]	[153: f-french (0.854738966028)]	
20: f-arabic:	[216: f-german (0.884087836663)]	[162: f-french (0.871416936899)]	[593: f-spanish (0.869889286889)]	[94: f-cantonese (0.86974323928)]	[28: f-arabic (0.867210131774)]	[251: f-italian (0.867012408199)]	[247: f-italian (0.865958735749)]	[547: f-spanish (0.865415986246)]	[699: m-turkish (0.864016523397)]	[342: f-macedonian (0.864004466891)]	
21: f-arabic:	[74: m-arabic (0.946441045497)]	[254: m-italian (0.941156830297)]	[121: f-dutch (0.937216159814)]	[632: m-spanish (0.93603017396)]	[91: f-cantonese (0.934071038124)]	[7: f-arabic (0.933817727316)]	[678: f-turkish (0.933815281993)]	[116: f-dutch (0.933108702731)]	[112: f-dutch (0.93310700053)]	[113: f-dutch (0.929175292621)]	
22: f-arabic:	[356: f-macedonian (0.924161431325)]	[187: m-french (0.923681200413)]	[17: f-arabic (0.916790016054)]	[36: m-arabic (0.916660558065)]	[210: f-german (0.915274176603)]	[218: f-german (0.913718513278)]	[459: f-portuguese (0.913410683788)]	[130: f-dutch (0.911141614805)]	[88: f-cantonese (0.910025648938)]	[564: f-spanish (0.909824053905)]	
23: f-arabic:	[429: f-polish (0.869014137377)]	[42: m-arabic (0.868958039707)]	[257: m-italian (0.866952991544)]	[2: f-arabic (0.862244596203)]	[215: f-german (0.862000721162)]	[315: f-korean (0.860656341648)]	[138: m-dutch (0.858620700086)]	[310: f-korean (0.858372331853)]	[648: m-spanish (0.856913885259)]	[563: f-spanish (0.856891315936)]	
24: f-arabic:	[26: f-arabic (0.875279624324)]	[138: m-dutch (0.87341319947)]	[280: f-japanese (0.87188898007)]	[278: f-japanese (0.864697415353)]	[205: m-french (0.860743602662)]	[506: f-russian (0.860069158761)]	[246: f-italian (0.85887087341)]	[391: f-mandarin (0.856746542163)]	[466: f-portuguese (0.856581458544)]	[310: f-korean (0.856575843195)]	
25: f-arabic:	[180: m-french (0.914866793654)]	[166: f-french (0.913142925744)]	[301: f-korean (0.899026217319)]	[511: f-russian (0.898241297183)]	[251: f-italian (0.896672021912)]	[16: f-arabic (0.895666761174)]	[581: f-spanish (0.895429457078)]	[88: f-cantonese (0.894485898487)]	[281: f-japanese (0.893971888236)]	[650: m-spanish (0.892511250281)]	
26: f-arabic:	[24: f-arabic (0.875279624324)]	[366: f-mandarin (0.86342623518)]	[280: f-japanese (0.861286624985)]	[551: f-spanish (0.856034680353)]	[278: f-japanese (0.853736177856)]	[492: m-portuguese (0.850438410003)]	[514: f-russian (0.849403847727)]	[37: m-arabic (0.848129716955)]	[464: f-portuguese (0.847339563858)]	[375: f-mandarin (0.847209274153)]	
27: f-arabic:	[468: f-portuguese (0.901944601076)]	[108: f-dutch (0.891459052135)]	[88: f-cantonese (0.886160659076)]	[370: f-mandarin (0.885286867453)]	[398: f-mandarin (0.884939100468)]	[564: f-spanish (0.883279310067)]	[81: m-arabic (0.882751078527)]	[425: f-polish (0.880125452201)]	[180: m-french (0.880059294015)]	[157: f-french (0.879430303789)]	
28: f-arabic:	[392: f-mandarin (0.92034815611)]	[425: f-polish (0.918812515553)]	[397: f-mandarin (0.91444759402)]	[94: f-cantonese (0.913179215337)]	[88: f-cantonese (0.907873528917)]	[219: f-german (0.906699828552)]	[398: f-mandarin (0.905617349503)]	[593: f-spanish (0.904103058116)]	[465: f-portuguese (0.903745856236)]	[123: f-dutch (0.903045385373)]	
29: m-arabic:	[202: m-french (0.848682706216)]	[75: m-arabic (0.827214020912)]	[360: m-macedonian (0.820159806642)]	[663: m-spanish (0.820027186659)]	[630: m-spanish (0.812107643455)]	[294: m-japanese (0.809809690537)]	[404: m-mandarin (0.809056038228)]	[635: m-spanish (0.808644272563)]	[136: m-dutch (0.806597951447)]	[268: m-italian (0.805719620837)]	
30: m-arabic:	[628: m-spanish (0.848512754884)]	[483: m-portuguese (0.846806631471)]	[504: f-russian (0.844564159793)]	[294: m-japanese (0.84371312105)]	[57: m-arabic (0.842006026127)]	[240: m-german (0.841709859714)]	[50: m-arabic (0.839620275476)]	[389: f-mandarin (0.837583839586)]	[663: m-spanish (0.836204909149)]	[575: f-spanish (0.831698139563)]	
31: m-arabic:	[193: m-french (0.861227423432)]	[437: m-polish (0.858498443761)]	[125: f-dutch (0.841762733891)]	[332: m-korean (0.840352385125)]	[310: f-korean (0.836635474884)]	[205: m-french (0.828232984166)]	[244: f-italian (0.826915177302)]	[165: f-french (0.826560076048)]	[284: f-japanese (0.826114977614)]	[365: m-macedonian (0.824933010731)]	
32: m-arabic:	[315: f-korean (0.889263147446)]	[371: f-mandarin (0.88716606056)]	[181: m-french (0.884630119579)]	[229: f-german (0.883622587357)]	[118: f-dutch (0.879065974226)]	[148: m-dutch (0.878285386823)]	[567: f-spanish (0.878255411799)]	[164: f-french (0.875863944232)]	[299: f-korean (0.874776753319)]	[219: f-german (0.873862223688)]	
33: m-arabic:	[492: m-portuguese (0.852368325569)]	[50: m-arabic (0.849300651998)]	[588: f-spanish (0.841922945281)]	[473: m-portuguese (0.833454181576)]	[211: f-german (0.829472333082)]	[387: f-mandarin (0.828477052219)]	[381: f-mandarin (0.828195563942)]	[547: f-spanish (0.827345013463)]	[655: m-spanish (0.82662611177)]	[384: f-mandarin (0.824557517567)]	
34: m-arabic:	[309: f-korean (0.861801132104)]	[83: f-cantonese (0.848248123805)]	[311: f-korean (0.847665721282)]	[69: m-arabic (0.84434080404)]	[620: m-spanish (0.844104319361)]	[50: m-arabic (0.841583805463)]	[606: m-spanish (0.83551699757)]	[689: m-turkish (0.833802614021)]	[339: m-korean (0.832190768346)]	[413: m-mandarin (0.830942645252)]	
35: m-arabic:	[530: m-russian (0.845706440041)]	[235: m-german (0.836521499192)]	[372: f-mandarin (0.820367094584)]	[262: m-italian (0.820024760691)]	[406: m-mandarin (0.815910079887)]	[571: f-spanish (0.814695415159)]	[570: f-spanish (0.812381339131)]	[606: m-spanish (0.8107129868)]	[673: m-spanish (0.809478201029)]	[608: m-spanish (0.8030847155)]	
36: m-arabic:	[22: f-arabic (0.916660558065)]	[455: f-portuguese (0.907266760018)]	[118: f-dutch (0.907130203222)]	[588: f-spanish (0.906759580316)]	[599: m-spanish (0.902380736597)]	[166: f-french (0.901564456735)]	[218: f-german (0.899148110486)]	[88: f-cantonese (0.899132279531)]	[688: m-turkish (0.897583002457)]	[276: f-japanese (0.896089095656)]	
37: m-arabic:	[514: f-russian (0.900926893401)]	[398: f-mandarin (0.892090701038)]	[190: m-french (0.891255390471)]	[405: m-mandarin (0.890230867901)]	[28: f-arabic (0.88586084704)]	[257: m-italian (0.884986018801)]	[528: m-russian (0.884546338838)]	[437: m-polish (0.88182456812)]	[505: f-russian (0.88168357963)]	[45: m-arabic (0.881632837113)]	
38: m-arabic:	[0: f-arabic (0.847177913415)]	[165: f-french (0.82918592433)]	[413: m-mandarin (0.82879805532)]	[375: f-mandarin (0.828334692136)]	[365: m-macedonian (0.825408058575)]	[80: m-arabic (0.824922123735)]	[613: m-spanish (0.822391582773)]	[606: m-spanish (0.82230308446)]	[473: m-portuguese (0.818185432597)]	[550: f-spanish (0.817584036712)]	
39: m-arabic:	[30: m-arabic (0.823829647951)]	[95: f-cantonese (0.81920214538)]	[234: m-german (0.807935541123)]	[634: m-spanish (0.807746369754)]	[475: m-portuguese (0.807697899233)]	[310: f-korean (0.806456123511)]	[296: m-japanese (0.799620708147)]	[418: m-mandarin (0.798945592019)]	[522: m-russian (0.797687845477)]	[606: m-spanish (0.794406684228)]	
40: m-arabic:	[408: m-mandarin (0.908125396516)]	[586: f-spanish (0.907312505629)]	[96: m-cantonese (0.902179660278)]	[468: f-portuguese (0.893571188237)]	[167: f-french (0.89244017934)]	[528: m-russian (0.887656289367)]	[356: f-macedonian (0.886319630326)]	[687: f-turkish (0.885627361221)]	[425: f-polish (0.884357517899)]	[595: f-spanish (0.883777111146)]	
41: m-arabic:	[547: f-spanish (0.86141974846)]	[375: f-mandarin (0.861257380591)]	[409: m-mandarin (0.856398316327)]	[316: f-korean (0.856128725532)]	[280: f-japanese (0.856079607084)]	[310: f-korean (0.850566609023)]	[577: f-spanish (0.850432391667)]	[128: f-dutch (0.850229119646)]	[667: m-spanish (0.84713480942)]	[510: f-russian (0.845506725989)]	
42: m-arabic:	[23: f-arabic (0.868958039707)]	[315: f-korean (0.842632957206)]	[201: m-french (0.838404721297)]	[557: f-spanish (0.837304095414)]	[648: m-spanish (0.836253097604)]	[36: m-arabic (0.828603666729)]	[671: m-spanish (0.827968416426)]	[498: f-russian (0.821044653261)]	[477: m-portuguese (0.820304407267)]	[548: f-spanish (0.818080662462)]	
43: m-arabic:	[295: m-japanese (0.895547400239)]	[570: f-spanish (0.889569072352)]	[601: m-spanish (0.877770403729)]	[159: f-french (0.877621735972)]	[277: f-japanese (0.877590330523)]	[373: f-mandarin (0.874752126584)]	[191: m-french (0.871948443405)]	[460: f-portuguese (0.871231220453)]	[670: m-spanish (0.870382017868)]	[193: m-french (0.869956846112)]	
44: m-arabic:	[150: f-french (0.852697306906)]	[87: f-cantonese (0.845587618441)]	[655: m-spanish (0.814353741292)]	[31: m-arabic (0.813948424539)]	[153: f-french (0.812414716055)]	[576: f-spanish (0.811148262971)]	[535: m-russian (0.81109531288)]	[61: m-arabic (0.80793195095)]	[268: m-italian (0.805204240259)]	[473: m-portuguese (0.804949528593)]	
45: m-arabic:	[37: m-arabic (0.881632837113)]	[139: m-dutch (0.871611984396)]	[458: f-portuguese (0.862218540827)]	[190: m-french (0.859422453308)]	[246: f-italian (0.85297751503)]	[311: f-korean (0.850496906412)]	[63: m-arabic (0.849338034187)]	[60: m-arabic (0.848593641703)]	[295: m-japanese (0.848290735292)]	[339: m-korean (0.847811983862)]	
46: m-arabic:	[91: f-cantonese (0.921209604223)]	[683: f-turkish (0.919007654019)]	[688: m-turkish (0.914846131254)]	[346: f-macedonian (0.91473684601)]	[356: f-macedonian (0.914456725168)]	[317: f-korean (0.913560294777)]	[286: f-japanese (0.912880658764)]	[14: f-arabic (0.911892173812)]	[305: f-korean (0.910373978191)]	[390: f-mandarin (0.91026930842)]	
47: m-arabic:	[538: m-russian (0.84941770289)]	[273: m-italian (0.846897559961)]	[137: m-dutch (0.841848888267)]	[333: m-korean (0.833010251272)]	[75: m-arabic (0.832076304482)]	[479: m-portuguese (0.826276269066)]	[698: m-turkish (0.824879128676)]	[50: m-arabic (0.824007198347)]	[675: m-spanish (0.820384805534)]	[446: m-polish (0.815733121717)]	
48: m-arabic:	[401: m-mandarin (0.880846364468)]	[514: f-russian (0.880573995904)]	[316: f-korean (0.879789831457)]	[528: m-russian (0.878178850483)]	[149: m-dutch (0.875755410769)]	[60: m-arabic (0.873878946517)]	[380: f-mandarin (0.873371525214)]	[227: f-german (0.867586019874)]	[280: f-japanese (0.864549091994)]	[373: f-mandarin (0.862781955695)]	
49: m-arabic:	[305: f-korean (0.922486064597)]	[181: m-french (0.921575797807)]	[502: f-russian (0.918857565497)]	[130: f-dutch (0.918631086524)]	[688: m-turkish (0.917379229731)]	[356: f-macedonian (0.917309141038)]	[422: f-polish (0.91014110908)]	[247: f-italian (0.908885990068)]	[6: f-arabic (0.907901129248)]	[108: f-dutch (0.906986475877)]	
50: m-arabic:	[598: m-spanish (0.884154429348)]	[413: m-mandarin (0.857043385979)]	[620: m-spanish (0.856126418738)]	[90: f-cantonese (0.852538763581)]	[664: m-spanish (0.852471669934)]	[207: m-french (0.851634771565)]	[54: m-arabic (0.851194563182)]	[437: m-polish (0.85047462573)]	[384: f-mandarin (0.85045880256)]	[365: m-macedonian (0.849493849798)]	
51: m-arabic:	[162: f-french (0.86900470882)]	[5: f-arabic (0.86629706207)]	[59: m-arabic (0.862934007097)]	[477: m-portuguese (0.859742934095)]	[473: m-portuguese (0.858895583402)]	[417: m-mandarin (0.858723494286)]	[561: f-spanish (0.856226721062)]	[304: f-korean (0.854179145075)]	[118: f-dutch (0.853388930052)]	[280: f-japanese (0.851450866411)]	
52: m-arabic:	[342: f-macedonian (0.924598519057)]	[108: f-dutch (0.911967768826)]	[247: f-italian (0.90912643455)]	[356: f-macedonian (0.908336278227)]	[181: m-french (0.905369014536)]	[301: f-korean (0.904796458778)]	[520: f-russian (0.90474466165)]	[12: f-arabic (0.903900664853)]	[14: f-arabic (0.903889431609)]	[593: f-spanish (0.897426867036)]	
53: m-arabic:	[449: m-polish (0.82108634047)]	[623: m-spanish (0.820199880004)]	[503: f-russian (0.804299964115)]	[620: m-spanish (0.802777360539)]	[55: m-arabic (0.796231358168)]	[240: m-german (0.795995905642)]	[698: m-turkish (0.795466446363)]	[133: m-dutch (0.794880627131)]	[413: m-mandarin (0.794498494982)]	[617: m-spanish (0.794288158421)]	
54: m-arabic:	[293: m-japanese (0.891494579131)]	[294: m-japanese (0.858174017708)]	[340: m-korean (0.857599662879)]	[617: m-spanish (0.854927732353)]	[698: m-turkish (0.853862129728)]	[539: m-russian (0.853384831669)]	[622: m-spanish (0.852469755221)]	[473: m-portuguese (0.852248658642)]	[50: m-arabic (0.851194563182)]	[598: m-spanish (0.850940462924)]	
55: m-arabic:	[620: m-spanish (0.859053533119)]	[613: m-spanish (0.858049933489)]	[240: m-german (0.824489937142)]	[478: m-portuguese (0.822569055793)]	[198: m-french (0.821489794137)]	[536: m-russian (0.821402045952)]	[50: m-arabic (0.820310319725)]	[449: m-polish (0.819456687015)]	[57: m-arabic (0.819218056464)]	[293: m-japanese (0.819139721309)]	
56: m-arabic:	[54: m-arabic (0.81811647416)]	[294: m-japanese (0.813041597795)]	[66: m-arabic (0.806415928093)]	[641: m-spanish (0.803615770782)]	[622: m-spanish (0.802733608997)]	[438: m-polish (0.802537310294)]	[657: m-spanish (0.801595454239)]	[597: m-spanish (0.797653052064)]	[618: m-spanish (0.796694835946)]	[482: m-portuguese (0.794497335146)]	
57: m-arabic:	[296: m-japanese (0.867203706247)]	[418: m-mandarin (0.862953102517)]	[538: m-russian (0.860695981775)]	[294: m-japanese (0.859866873852)]	[575: f-spanish (0.850820209217)]	[331: m-korean (0.850232514609)]	[416: m-mandarin (0.84903334539)]	[30: m-arabic (0.842006026127)]	[657: m-spanish (0.840581362167)]	[494: m-portuguese (0.839873031935)]	
58: m-arabic:	[473: m-portuguese (0.832626742121)]	[159: f-french (0.830512942989)]	[499: f-russian (0.828657428989)]	[132: m-dutch (0.827559696229)]	[143: m-dutch (0.821297764653)]	[316: f-korean (0.821192599772)]	[570: f-spanish (0.820920071305)]	[670: m-spanish (0.818862132734)]	[209: m-french (0.816279586554)]	[535: m-russian (0.814812227452)]	
59: m-arabic:	[155: f-french (0.876262886662)]	[118: f-dutch (0.866720429122)]	[162: f-french (0.865976856536)]	[499: f-russian (0.865923757103)]	[248: f-italian (0.864704830798)]	[51: m-arabic (0.862934007097)]	[455: f-portuguese (0.862221077638)]	[299: f-korean (0.858899339369)]	[5: f-arabic (0.856666099343)]	[523: m-russian (0.854978351522)]	
60: m-arabic:	[499: f-russian (0.891966977242)]	[17: f-arabic (0.891651645432)]	[502: f-russian (0.889119260659)]	[541: m-russian (0.886590722198)]	[118: f-dutch (0.885474868113)]	[159: f-french (0.882027766685)]	[588: f-spanish (0.880254808973)]	[398: f-mandarin (0.880116751222)]	[272: m-italian (0.878881154759)]	[356: f-macedonian (0.876081695089)]	
61: m-arabic:	[310: f-korean (0.848850100932)]	[336: m-korean (0.848399993287)]	[475: m-portuguese (0.842954273968)]	[364: m-macedonian (0.839489072114)]	[668: m-spanish (0.825362547499)]	[258: m-italian (0.822883276593)]	[600: m-spanish (0.820932585645)]	[75: m-arabic (0.82046460458)]	[361: m-macedonian (0.816945933168)]	[654: m-spanish (0.815546281406)]	
62: m-arabic:	[176: f-french (0.810715218121)]	[71: m-arabic (0.796497607128)]	[54: m-arabic (0.79371675028)]	[621: m-spanish (0.791662212904)]	[177: f-french (0.780872820653)]	[598: m-spanish (0.780611395633)]	[188: m-french (0.778446949829)]	[340: m-korean (0.777970262294)]	[252: m-italian (0.773297383064)]	[361: m-macedonian (0.770697350594)]	
63: m-arabic:	[157: f-french (0.885239516309)]	[376: f-mandarin (0.869141842052)]	[286: f-japanese (0.865823843477)]	[219: f-german (0.864422116733)]	[287: f-japanese (0.863940301584)]	[502: f-russian (0.863325193742)]	[149: m-dutch (0.863163855772)]	[229: f-german (0.863148686983)]	[228: f-german (0.862770914091)]	[390: f-mandarin (0.86250531306)]	
64: m-arabic:	[37: m-arabic (0.849783336502)]	[83: f-cantonese (0.846934932275)]	[473: m-portuguese (0.846289096244)]	[77: m-arabic (0.844360488488)]	[159: f-french (0.842319889489)]	[364: m-macedonian (0.836531888436)]	[514: f-russian (0.8326590727)]	[377: f-mandarin (0.832389771806)]	[689: m-turkish (0.831287161525)]	[284: f-japanese (0.830057728525)]	
65: m-arabic:	[177: f-french (0.865182951263)]	[631: m-spanish (0.850204237809)]	[505: f-russian (0.849209940028)]	[496: m-portuguese (0.847355532894)]	[300: f-korean (0.845073968135)]	[606: m-spanish (0.844293941349)]	[50: m-arabic (0.840480866061)]	[698: m-turkish (0.838823499108)]	[437: m-polish (0.837431743428)]	[54: m-arabic (0.836422120167)]	
66: m-arabic:	[294: m-japanese (0.850474053186)]	[54: m-arabic (0.84752249485)]	[30: m-arabic (0.827801232006)]	[623: m-spanish (0.824227992154)]	[657: m-spanish (0.819117644915)]	[452: m-polish (0.81559005168)]	[666: m-spanish (0.813085163576)]	[482: m-portuguese (0.809997916278)]	[336: m-korean (0.807979545221)]	[137: m-dutch (0.807552130907)]	
67: m-arabic:	[606: m-spanish (0.821116433023)]	[524: m-russian (0.81998453254)]	[479: m-portuguese (0.808257788896)]	[239: m-german (0.804936675149)]	[478: m-portuguese (0.804555301697)]	[296: m-japanese (0.800655866168)]	[634: m-spanish (0.795255460396)]	[234: m-german (0.792549346392)]	[47: m-arabic (0.784316777151)]	[57: m-arabic (0.781674326164)]	
68: m-arabic:	[275: f-japanese (0.842612032376)]	[664: m-spanish (0.837871389799)]	[364: m-macedonian (0.831815402208)]	[408: m-mandarin (0.826590828648)]	[13: f-arabic (0.824524260177)]	[458: f-portuguese (0.823648616968)]	[233: m-german (0.821054850627)]	[299: f-korean (0.818914413076)]	[32: m-arabic (0.818617495114)]	[638: m-spanish (0.818302790808)]	
69: m-arabic:	[34: m-arabic (0.84434080404)]	[424: f-polish (0.842161692049)]	[456: f-portuguese (0.836776023549)]	[385: f-mandarin (0.829378114742)]	[503: f-russian (0.82464075448)]	[670: m-spanish (0.82179750532)]	[429: f-polish (0.821517657911)]	[659: m-spanish (0.816227229442)]	[257: m-italian (0.810292368097)]	[602: m-spanish (0.806410412861)]	
70: m-arabic:	[606: m-spanish (0.842613257878)]	[473: m-portuguese (0.830657265988)]	[463: f-portuguese (0.830548853817)]	[311: f-korean (0.828519248247)]	[458: f-portuguese (0.826858529099)]	[409: m-mandarin (0.824920980093)]	[524: m-russian (0.823102870455)]	[401: m-mandarin (0.82193715428)]	[670: m-spanish (0.820615364389)]	[393: f-mandarin (0.820563502482)]	
71: m-arabic:	[401: m-mandarin (0.85113010167)]	[54: m-arabic (0.848426003111)]	[293: m-japanese (0.83518848957)]	[162: f-french (0.829593566242)]	[620: m-spanish (0.824927726805)]	[663: m-spanish (0.817276783598)]	[59: m-arabic (0.814916226443)]	[177: f-french (0.812593758297)]	[377: f-mandarin (0.810853370143)]	[13: f-arabic (0.810654504061)]	
72: m-arabic:	[262: m-italian (0.818235343436)]	[30: m-arabic (0.816892660912)]	[657: m-spanish (0.811314273701)]	[628: m-spanish (0.810683508398)]	[296: m-japanese (0.810424851907)]	[57: m-arabic (0.810132621654)]	[230: m-german (0.800575253987)]	[66: m-arabic (0.799836408358)]	[186: m-french (0.794718223952)]	[483: m-portuguese (0.794025284273)]	
